IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.114.167,2083,2083,true,SIN,Asia Pacific,Singapore,84,11.23
8.219.249.38,2096,2096,true,SIN,Asia Pacific,Singapore,119,11.23
8.219.201.174,2086,2086,false,SIN,Asia Pacific,Singapore,29,11.23
47.236.117.48,8443,8443,true,SIN,Asia Pacific,Singapore,67,11.23
47.74.37.50,8080,8080,false,HKG,Asia Pacific,Hong Kong,160,11.23
8.219.222.8,2095,2095,false,SIN,Asia Pacific,Singapore,4,11.23
8.222.169.182,2095,2095,false,SIN,Asia Pacific,Singapore,20,11.22
8.219.103.57,8443,8443,true,SIN,Asia Pacific,Singapore,131,11.22
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,8,11.22
47.245.33.158,2083,2083,true,NRT,Asia Pacific,Tokyo,133,11.21
47.245.37.89,8880,8880,false,HKG,Asia Pacific,Hong Kong,165,11.21
8.219.173.195,2052,2052,false,SIN,Asia Pacific,Singapore,10,11.21
8.219.220.88,2052,2052,false,SIN,Asia Pacific,Singapore,24,11.21
8.222.144.219,8443,8443,true,SIN,Asia Pacific,Singapore,106,11.21
8.222.180.242,8443,8443,true,SIN,Asia Pacific,Singapore,72,11.21
8.219.99.169,2095,2095,false,SIN,Asia Pacific,Singapore,13,11.21
47.245.8.68,2082,2082,false,HKG,Asia Pacific,Hong Kong,169,11.20
8.219.126.240,2095,2095,false,SIN,Asia Pacific,Singapore,7,11.20
8.219.112.75,2082,2082,false,SIN,Asia Pacific,Singapore,18,11.20
8.219.134.117,2096,2096,true,SIN,Asia Pacific,Singapore,46,11.20
47.91.22.115,80,0,false,NRT,Asia Pacific,Tokyo,74,11.20
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,63,11.19
8.219.174.142,8080,8080,false,SIN,Asia Pacific,Singapore,9,11.19
47.74.5.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,146,11.19
8.219.153.44,2053,2053,true,SIN,Asia Pacific,Singapore,140,11.19
8.209.246.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,186,11.19
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,81,11.18
47.245.82.78,2083,2083,true,SIN,Asia Pacific,Singapore,67,11.18
8.219.65.191,2096,2096,true,SIN,Asia Pacific,Singapore,41,11.18
8.219.157.97,80,80,false,SIN,Asia Pacific,Singapore,38,11.18
8.219.147.58,2083,2083,true,SIN,Asia Pacific,Singapore,87,11.18
47.245.6.9,80,80,false,HKG,Asia Pacific,Hong Kong,164,11.18
8.219.98.13,443,443,true,SIN,Asia Pacific,Singapore,132,11.18
47.245.10.156,2086,2086,false,NRT,Asia Pacific,Tokyo,71,11.18
8.219.250.239,2095,2095,false,SIN,Asia Pacific,Singapore,8,11.18
8.219.204.120,2095,2095,false,SIN,Asia Pacific,Singapore,5,11.18
47.245.118.197,2096,2096,true,SIN,Asia Pacific,Singapore,10,11.17
47.245.37.12,2053,2053,true,HKG,Asia Pacific,Hong Kong,173,11.17
47.245.53.50,8443,8443,true,HKG,Asia Pacific,Hong Kong,297,11.17
8.219.209.14,2095,2095,false,SIN,Asia Pacific,Singapore,36,11.16
47.245.54.58,2095,2095,false,HKG,Asia Pacific,Hong Kong,170,11.16
